Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Diego Demme,de GER,MF,Napoli,31.0,1991.0,2,1,73,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leander Dendoncker,be BEL,MF,Napoli,28.0,1995.0,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Mattia Destro,it ITA,"FW,MF",Empoli,32.0,1991.0,15,3,366,4.1,0,0,0,0,0,0,2,0,1.2,1.2,0.3,1.5,4,4,19,0.0,0.0,0.0,0.0,0.0,0.29,0.08,0.37,0.29,0.37
Federico Di Francesco,it ITA,"FW,MF",Lecce,29.0,1994.0,2,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,6.0,0.0,6.0,6.0,6.0,0.53,0.0,0.53,0.53,0.53
Raffaele Di Gennaro,it ITA,GK,Inter,29.0,1993.0,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michele Di Gregorio,it ITA,GK,Monza,26.0,1997.0,33,33,"2,872",31.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Di Lorenzo,it ITA,DF,Napoli,29.0,1993.0,36,36,"3,234",35.9,1,6,7,1,0,0,6,0,3.1,3.1,4.9,8.0,95,304,250,0.03,0.17,0.19,0.03,0.19,0.09,0.14,0.22,0.09,0.22
Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,24.0,1999.0,15,2,359,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,11,19,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
Boulaye Dia,sn SEN,"FW,MF",Salernitana,26.0,1996.0,17,12,"1,143",12.7,4,0,4,3,1,1,1,0,3.9,3.1,0.5,3.6,18,22,57,0.31,0.0,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28
Federico Dimarco,it ITA,DF,Inter,25.0,1997.0,30,29,"2,077",23.1,5,6,11,5,0,0,0,0,2.9,2.7,8.5,11.1,51,100,198,0.22,0.26,0.48,0.22,0.48,0.13,0.37,0.49,0.12,0.48
Tiago Djaló,pt POR,DF,Juventus,23.0,2000.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koffi Djidji,ci CIV,DF,Torino,30.0,1992.0,13,8,759,8.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,19,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Berat Djimsiti,al ALB,DF,Atalanta,30.0,1993.0,37,32,"2,832",31.5,0,1,1,0,0,0,5,0,0.8,0.8,0.7,1.5,6,79,10,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05
Dodô,br BRA,DF,Fiorentina,24.0,1998.0,9,7,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,20,39,21,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.15,0.01,0.15
Josh Doig,sct SCO,DF,Hellas Verona,21.0,2002.0,12,11,830,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,23,15,22,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
Josh Doig,sct SCO,DF,Sassuolo,21.0,2002.0,16,15,"1,343",14.9,0,2,2,0,0,0,5,0,0.2,0.2,1.1,1.3,30,33,45,0.0,0.13,0.13,0.0,0.13,0.01,0.08,0.09,0.01,0.09
Nicolás Domínguez,ar ARG,MF,Bologna,25.0,1998.0,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Giulio Donati,it ITA,DF,Monza,33.0,1990.0,4,0,36,0.4,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,3,5,0.0,0.0,0.0,0.0,0.0,0.05,0.46,0.51,0.05,0.51
Patrick Dorgu,dk DEN,"DF,MF",Lecce,18.0,2004.0,32,17,"1,564",17.4,2,0,2,2,0,0,6,0,2.0,2.0,1.6,3.6,37,49,86,0.12,0.0,0.12,0.12,0.12,0.11,0.09,0.21,0.11,0.21
Alberto Dossena,it ITA,DF,Cagliari,24.0,1998.0,35,33,"2,977",33.1,2,4,6,2,0,0,5,0,2.2,2.2,2.1,4.3,9,89,2,0.06,0.12,0.18,0.06,0.18,0.07,0.06,0.13,0.07,0.13
Radu Drăgușin,ro ROU,DF,Genoa,21.0,2002.0,19,19,"1,710",19.0,2,1,3,2,0,0,1,0,1.0,1.0,0.8,1.9,6,29,13,0.11,0.05,0.16,0.11,0.16,0.05,0.04,0.1,0.05,0.1
Ondrej Duda,sk SVK,MF,Hellas Verona,28.0,1994.0,32,29,"2,456",27.3,1,4,5,1,0,1,14,2,2.2,1.4,3.3,4.7,34,117,47,0.04,0.15,0.18,0.04,0.18,0.08,0.12,0.2,0.05,0.17
Denzel Dumfries,nl NED,DF,Inter,27.0,1996.0,31,19,"1,639",18.2,4,4,8,4,0,0,2,1,2.3,2.3,4.9,7.1,50,51,147,0.22,0.22,0.44,0.22,0.44,0.12,0.27,0.39,0.12,0.39
Alfred Duncan,gh GHA,MF,Fiorentina,30.0,1993.0,30,24,"1,888",21.0,2,5,7,2,0,0,2,0,1.5,1.5,2.0,3.5,23,133,47,0.1,0.24,0.33,0.1,0.33,0.07,0.1,0.17,0.07,0.17
Paulo Dybala,ar ARG,"FW,MF",Roma,29.0,1993.0,28,25,"1,959",21.8,13,9,22,6,7,7,3,0,10.6,5.1,4.3,9.4,79,122,167,0.6,0.41,1.01,0.28,0.69,0.49,0.2,0.68,0.23,0.43
Festy Ebosele,ie IRL,DF,Udinese,20.0,2002.0,31,20,"1,700",18.9,0,0,0,0,0,0,6,1,0.8,0.8,1.8,2.6,67,35,98,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14
Enzo Ebosse,cm CMR,DF,Udinese,24.0,1999.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyronne Ebuehi,ng NGA,DF,Empoli,27.0,1995.0,15,11,"1,099",12.2,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,34,37,35,0.0,0.08,0.08,0.0,0.08,0.02,0.07,0.1,0.02,0.1
Éderson,br BRA,MF,Atalanta,24.0,1999.0,36,32,"2,869",31.9,6,1,7,6,0,0,8,0,3.5,3.5,1.4,4.9,32,214,50,0.19,0.03,0.22,0.19,0.22,0.11,0.04,0.15,0.11,0.15
Kingsley Ehizibue,nl NED,DF,Udinese,28.0,1995.0,23,11,955,10.6,0,1,1,0,0,0,4,0,1.3,1.3,0.7,2.0,18,15,44,0.0,0.09,0.09,0.0,0.09,0.12,0.07,0.19,0.12,0.19
Emmanuel Ekong,se SWE,FW,Empoli,21.0,2002.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19
Caleb Ekuban,gh GHA,FW,Genoa,29.0,1994.0,29,10,"1,131",12.6,4,1,5,4,0,0,0,0,2.9,2.9,1.4,4.2,14,15,93,0.32,0.08,0.4,0.32,0.4,0.23,0.11,0.34,0.23,0.34
Elif Elmas,mk MKD,"FW,MF",Napoli,23.0,1999.0,11,4,339,3.8,2,0,2,2,0,0,2,0,0.5,0.5,0.2,0.7,14,16,26,0.53,0.0,0.53,0.53,0.53,0.13,0.06,0.19,0.13,0.19
Martin Erlic,hr CRO,DF,Sassuolo,25.0,1998.0,32,31,"2,618",29.1,1,0,1,1,0,0,5,0,1.0,1.0,0.0,1.0,19,78,11,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03
Giovanni Fabbian,it ITA,"MF,FW",Bologna,20.0,2003.0,27,11,"1,057",11.7,5,2,7,5,0,0,4,0,4.2,4.2,1.9,6.0,11,17,41,0.43,0.17,0.6,0.43,0.6,0.35,0.16,0.51,0.35,0.51
Nicolò Fagioli,it ITA,MF,Juventus,22.0,2001.0,8,4,437,4.9,0,2,2,0,0,0,1,0,0.4,0.4,0.7,1.1,8,23,15,0.0,0.41,0.41,0.0,0.41,0.08,0.15,0.23,0.08,0.23
Wladimiro Falcone,it ITA,GK,Lecce,28.0,1995.0,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davide Faraoni,it ITA,DF,Hellas Verona,31.0,1991.0,11,7,602,6.7,0,1,1,0,0,0,5,0,0.4,0.4,0.4,0.8,13,28,31,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.11,0.06,0.11
Davide Faraoni,it ITA,DF,Fiorentina,31.0,1991.0,8,4,392,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,7,17,16,0.0,0.23,0.23,0.0,0.23,0.02,0.08,0.11,0.02,0.11
Federico Fazio,ar ARG,DF,Salernitana,36.0,1987.0,17,15,"1,355",15.1,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,2,27,2,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03
Jacopo Fazzini,it ITA,MF,Empoli,20.0,2003.0,31,14,"1,232",13.7,1,1,2,1,0,0,6,0,1.2,1.2,2.3,3.5,24,47,51,0.07,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26
Lewis Ferguson,sct SCO,MF,Bologna,23.0,1999.0,31,31,"2,712",30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57,142,138,0.2,0.1,0.3,0.2,0.3,0.18,0.08,0.26,0.18,0.26
Andrea Ferraris,it ITA,MF,Monza,20.0,2003.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Ferreira,pt POR,DF,Udinese,22.0,2001.0,35,18,"1,822",20.2,0,1,1,0,0,0,9,0,0.1,0.1,0.9,1.0,19,61,45,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.05,0.01,0.05
Seydou Fini,it ITA,"DF,FW",Genoa,17.0,2006.0,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34
Vincenzo Fiorillo,it ITA,GK,Salernitana,33.0,1990.0,4,4,360,4.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Florenzi,it ITA,DF,Milan,32.0,1991.0,31,19,"1,732",19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,29,106,50,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26
Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,25.0,1998.0,34,33,"2,781",30.9,5,1,6,5,0,0,5,0,4.0,3.9,1.4,5.3,56,54,110,0.16,0.03,0.19,0.16,0.19,0.13,0.04,0.17,0.13,0.17
Davide Frattesi,it ITA,MF,Inter,23.0,1999.0,32,6,955,10.6,6,3,9,6,0,0,1,0,7.1,7.1,1.9,9.0,27,37,40,0.57,0.28,0.85,0.57,0.85,0.67,0.18,0.85,0.67,0.85
Morten Frendrup,dk DEN,MF,Genoa,22.0,2001.0,37,36,"3,145",34.9,2,5,7,2,0,0,6,0,1.7,1.7,1.6,3.3,36,105,69,0.06,0.14,0.2,0.06,0.2,0.05,0.05,0.09,0.05,0.09
Remo Freuler,ch SUI,MF,Bologna,31.0,1992.0,32,30,"2,624",29.2,1,1,2,1,0,0,9,0,1.2,1.2,1.1,2.3,37,165,48,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08
Gerardo Fusco,it ITA,FW,Salernitana,18.0,2005.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22
Matteo Gabbia,it ITA,DF,Milan,23.0,1999.0,18,14,"1,275",14.2,2,1,3,2,0,0,5,0,1.6,1.6,0.3,1.9,11,42,2,0.14,0.07,0.21,0.14,0.21,0.11,0.02,0.14,0.11,0.14
Gianluca Gaetano,it ITA,"FW,MF",Cagliari,23.0,2000.0,11,10,745,8.3,4,1,5,3,1,1,1,1,1.3,0.5,1.3,1.8,17,41,42,0.48,0.12,0.6,0.36,0.48,0.15,0.16,0.31,0.06,0.22
Gianluca Gaetano,it ITA,MF,Napoli,23.0,2000.0,9,1,161,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,6,6,5,0.56,0.0,0.56,0.56,0.56,0.35,0.27,0.62,0.35,0.62
Roberto Gagliardini,it ITA,"MF,DF",Monza,29.0,1994.0,33,29,"2,360",26.2,1,2,3,1,0,0,5,0,2.9,2.9,1.7,4.6,38,120,36,0.04,0.08,0.11,0.04,0.11,0.11,0.06,0.18,0.11,0.18
Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,26.0,1996.0,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
Antonino Gallo,it ITA,DF,Lecce,23.0,2000.0,35,30,"2,490",27.7,0,3,3,0,0,0,2,0,0.5,0.5,4.5,5.0,69,125,101,0.0,0.11,0.11,0.0,0.11,0.02,0.16,0.18,0.02,0.18
Luca Garritano,it ITA,"MF,DF",Frosinone,29.0,1994.0,12,5,485,5.4,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,6,23,23,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19
Federico Gatti,it ITA,DF,Juventus,25.0,1998.0,32,30,"2,637",29.3,4,0,4,4,0,0,7,0,5.5,5.5,1.5,7.0,52,122,43,0.14,0.0,0.14,0.14,0.14,0.19,0.05,0.24,0.19,0.24
Francesco Gelli,it ITA,"MF,DF",Frosinone,26.0,1996.0,27,16,"1,561",17.3,0,0,0,0,0,0,3,0,0.7,0.7,2.4,3.1,42,61,87,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.18,0.04,0.18
Luca Gemello,it ITA,GK,Torino,23.0,2000.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valentin Gendrey,fr FRA,DF,Lecce,23.0,2000.0,37,35,"3,044",33.8,2,3,5,2,0,0,5,0,1.6,1.6,1.6,3.2,76,116,86,0.06,0.09,0.15,0.06,0.15,0.05,0.05,0.1,0.05,0.1
Farés Ghedjemis,fr FRA,"FW,MF",Frosinone,20.0,2002.0,6,1,182,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,7,2,19,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13
Lautaro Gianetti,ar ARG,DF,Udinese,29.0,1993.0,7,7,630,7.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.4,2,4,0,0.14,0.0,0.14,0.14,0.14,0.06,0.01,0.06,0.06,0.06
Mario Gila,es ESP,DF,Lazio,22.0,2000.0,21,21,"1,809",20.1,0,0,0,0,0,0,4,1,0.5,0.5,0.5,1.0,21,93,12,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
Gvidas Gineitis,lt LTU,MF,Torino,19.0,2004.0,14,4,538,6.0,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.9,9,25,12,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15
Olivier Giroud,fr FRA,FW,Milan,36.0,1986.0,35,28,"2,363",26.3,15,8,23,11,4,5,1,1,14.2,10.2,4.7,14.9,9,28,95,0.57,0.3,0.88,0.42,0.72,0.54,0.18,0.72,0.39,0.57
Edoardo Goldaniga,it ITA,DF,Cagliari,29.0,1993.0,13,12,"1,011",11.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.7,9,50,3,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
Pierluigi Gollini,it ITA,GK,Napoli,28.0,1995.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papu Gómez,ar ARG,"MF,FW",Monza,35.0,1988.0,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.43
Iron Gomis,fr FRA,MF,Salernitana,23.0,1999.0,5,1,134,1.5,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.7,3,4,15,0.0,0.0,0.0,0.0,0.0,0.38,0.11,0.49,0.38,0.49
Joan Gonzàlez,es ESP,MF,Lecce,21.0,2002.0,29,13,"1,291",14.3,1,1,2,1,0,0,6,0,1.2,1.2,1.0,2.2,25,49,41,0.07,0.07,0.14,0.07,0.14,0.08,0.07,0.15,0.08,0.15
Nicolás González,ar ARG,FW,Fiorentina,25.0,1998.0,29,21,"1,913",21.3,12,2,14,11,1,3,1,0,10.4,8.0,1.6,9.6,53,100,190,0.56,0.09,0.66,0.52,0.61,0.49,0.07,0.56,0.38,0.45
Alberto Grassi,it ITA,MF,Empoli,28.0,1995.0,27,22,"1,807",20.1,0,1,1,0,0,0,6,1,1.1,1.1,0.6,1.7,13,75,13,0.0,0.05,0.05,0.0,0.05,0.05,0.03,0.09,0.05,0.09
Mattéo Guendouzi,fr FRA,MF,Lazio,24.0,1999.0,33,27,"2,367",26.3,2,3,5,2,0,0,3,1,1.6,1.6,2.3,3.9,46,119,79,0.08,0.11,0.19,0.08,0.19,0.06,0.09,0.15,0.06,0.15
Axel Guessand,fr FRA,DF,Udinese,18.0,2004.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Albert Guðmundsson,is ISL,"FW,MF",Genoa,26.0,1997.0,35,34,"3,016",33.5,14,4,18,10,4,5,4,0,9.9,5.8,5.2,11.0,82,120,168,0.42,0.12,0.54,0.3,0.42,0.3,0.16,0.45,0.17,0.33
Emmanuel Gyasi,gh GHA,"DF,FW",Empoli,29.0,1994.0,33,21,"1,879",20.9,1,2,3,1,0,0,8,0,3.5,3.5,1.5,5.0,15,41,60,0.05,0.1,0.14,0.05,0.14,0.17,0.07,0.24,0.17,0.24
Norbert Gyömbér,sk SVK,DF,Salernitana,31.0,1992.0,22,20,"1,760",19.6,0,0,0,0,0,0,9,0,0.2,0.2,0.2,0.3,4,42,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Nicolas Haas,ch SUI,MF,Empoli,27.0,1996.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,6,4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
Ridgeciano Haps,sr SUR,DF,Genoa,30.0,1993.0,16,7,773,8.6,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,13,13,42,0.0,0.12,0.12,0.0,0.12,0.01,0.08,0.1,0.01,0.1
Abdou Harroui,nl NED,"MF,FW",Frosinone,25.0,1998.0,18,13,"1,019",11.3,3,3,6,2,1,1,2,0,3.1,2.3,1.2,3.5,43,38,56,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31
Hans Hateboer,nl NED,DF,Atalanta,29.0,1994.0,23,10,"1,113",12.4,0,1,1,0,0,0,5,0,0.3,0.3,2.0,2.4,19,42,71,0.0,0.08,0.08,0.0,0.08,0.03,0.16,0.19,0.03,0.19
Pantelis Hatzidiakos,gr GRE,DF,Cagliari,26.0,1997.0,13,13,856,9.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,34,7,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Silvan Hefti,ch SUI,"MF,DF",Genoa,25.0,1997.0,6,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liam Henderson,sct SCO,MF,Empoli,27.0,1996.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Henrique,br BRA,MF,Sassuolo,25.0,1997.0,31,27,"2,501",27.8,2,2,4,2,0,0,8,1,2.3,2.3,1.6,3.9,43,94,44,0.07,0.07,0.14,0.07,0.14,0.08,0.06,0.14,0.08,0.14
Thomas Henry,fr FRA,FW,Hellas Verona,28.0,1994.0,18,2,334,3.7,3,0,3,3,0,1,2,2,3.3,2.5,0.0,2.5,2,3,20,0.81,0.0,0.81,0.81,0.81,0.88,0.01,0.89,0.66,0.68
Theo Hernández,fr FRA,DF,Milan,25.0,1997.0,32,31,"2,791",31.0,5,4,9,4,1,2,11,1,4.9,3.4,4.3,7.7,115,166,124,0.16,0.13,0.29,0.13,0.26,0.16,0.14,0.3,0.11,0.25
Isak Hien,se SWE,DF,Hellas Verona,24.0,1999.0,10,9,864,9.6,0,0,0,0,0,0,1,1,0.4,0.4,0.0,0.4,8,26,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Isak Hien,se SWE,DF,Atalanta,24.0,1999.0,16,9,937,10.4,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.3,0,24,0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03
Emil Holm,se SWE,DF,Atalanta,23.0,2000.0,22,12,947,10.5,1,1,2,1,0,0,5,0,2.7,2.7,0.8,3.6,28,27,80,0.1,0.1,0.19,0.1,0.19,0.26,0.08,0.34,0.26,0.34
Martin Hongla,cm CMR,MF,Hellas Verona,25.0,1998.0,15,12,"1,084",12.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,57,6,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Sydney van Hooijdonk,nl NED,FW,Bologna,23.0,2000.0,9,2,212,2.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,2,9,0.0,0.0,0.0,0.0,0.0,0.26,0.05,0.31,0.26,0.31
Dean Huijsen,es ESP,DF,Roma,18.0,2005.0,13,4,509,5.7,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,4,18,15,0.35,0.0,0.35,0.35,0.35,0.07,0.01,0.08,0.07,0.08
Dean Huijsen,es ESP,DF,Juventus,18.0,2005.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elseid Hysaj,al ALB,DF,Lazio,29.0,1994.0,22,11,"1,199",13.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,27,51,41,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Arijon Ibrahimović,de GER,"FW,DF",Frosinone,17.0,2005.0,16,5,474,5.3,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,10,22,54,0.19,0.19,0.38,0.19,0.38,0.15,0.13,0.28,0.15,0.28
Jonathan Ikone,fr FRA,FW,Fiorentina,25.0,1998.0,28,18,"1,682",18.7,3,1,4,3,0,0,5,0,4.6,4.6,2.0,6.6,51,58,154,0.16,0.05,0.21,0.16,0.21,0.25,0.1,0.35,0.25,0.35
Chukwubuikem Ikwuemesi,ng NGA,FW,Salernitana,21.0,2001.0,25,11,"1,061",11.8,1,1,2,1,0,0,2,0,2.4,2.4,0.7,3.1,11,10,70,0.08,0.08,0.17,0.08,0.17,0.21,0.06,0.26,0.21,0.26
Ivan Ilić,rs SRB,MF,Torino,22.0,2001.0,31,25,"2,098",23.3,3,2,5,3,0,0,3,0,2.1,2.1,5.0,7.1,49,138,52,0.13,0.09,0.21,0.13,0.21,0.09,0.21,0.3,0.09,0.3
Samuel Iling-Junior,eng ENG,"DF,MF",Juventus,19.0,2003.0,24,4,810,9.0,1,2,3,1,0,0,1,0,0.7,0.7,1.3,2.0,29,25,64,0.11,0.22,0.33,0.11,0.33,0.08,0.14,0.23,0.08,0.23
Ciro Immobile,it ITA,FW,Lazio,33.0,1990.0,31,21,"1,652",18.4,7,1,8,3,4,4,8,0,9.7,6.6,2.1,8.6,19,39,123,0.38,0.05,0.44,0.16,0.22,0.53,0.11,0.64,0.36,0.47
Gino Infantino,ar ARG,MF,Fiorentina,20.0,2003.0,6,0,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,7,4,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Gustav Isaksen,dk DEN,FW,Lazio,22.0,2001.0,28,12,"1,074",11.9,3,1,4,3,0,0,3,0,1.6,1.6,2.6,4.2,36,21,95,0.25,0.08,0.34,0.25,0.34,0.13,0.22,0.35,0.13,0.35
Ardian Ismajli,al ALB,DF,Empoli,26.0,1996.0,26,23,"2,045",22.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,9,49,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02
Armando Izzo,it ITA,DF,Monza,31.0,1992.0,23,20,"1,650",18.3,0,0,0,0,0,0,9,0,0.7,0.7,0.5,1.1,15,59,7,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06
Filip Jagiełło,pl POL,MF,Genoa,25.0,1997.0,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Jankto,cz CZE,"MF,FW",Cagliari,27.0,1996.0,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12,26,48,0.1,0.21,0.31,0.1,0.31,0.16,0.05,0.21,0.15,0.2
Juan Jesus,br BRA,DF,Napoli,32.0,1991.0,24,23,"2,116",23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,6,82,2,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07
Alejandro Jiménez,es ESP,DF,Milan,18.0,2005.0,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
